Track name, Artist name, Album, Playlist name, Type, ISRC
Ratchet Happy Birthday,Drake,Scorpion,I Love My 2010s Hip-Hop,Playlist track,USCM51800188
Lit Like Bic,Rae Sremmurd,SremmLife,I Love My 2010s Hip-Hop,Playlist track,USUM71417468
Freestyle,Lil Baby,Too Hard,I Love My 2010s Hip-Hop,Playlist track,QZ4JX1760834
Perfect Ten (feat. Nipsey Hussle),Mustard,Perfect Ten,I Love My 2010s Hip-Hop,Playlist track,USUM71911809
Dreams and Nightmares,Meek Mill,Dreams and Nightmares (Deluxe Edition),I Love My 2010s Hip-Hop,Playlist track,USWB11202753
Wat's Wrong (feat. Zacari & Kendrick Lamar),Isaiah Rashad,The Sun's Tirade,I Love My 2010s Hip-Hop,Playlist track,TCACR1650835
Poetic Justice,Kendrick Lamar,"good kid, m.A.A.d city",I Love My 2010s Hip-Hop,Playlist track,USUM71211004
Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS,KIDS SEE GHOSTS,I Love My 2010s Hip-Hop,Playlist track,USUM71808248
Anita,Smino,blkswn,I Love My 2010s Hip-Hop,Playlist track,USUG11700179
Money Trees,Kendrick Lamar,"good kid, m.A.A.d city",I Love My 2010s Hip-Hop,Playlist track,USUM71210785
OSOM (feat. J. Cole),Jay Rock,Redemption,I Love My 2010s Hip-Hop,Playlist track,USUG11801035
Feel No Ways,Drake,Views,I Love My 2010s Hip-Hop,Playlist track,USCM51600067
East Atlanta Love Letter (feat. Future),6LACK,East Atlanta Love Letter,I Love My 2010s Hip-Hop,Playlist track,USUM71812660
How It Feel,Big Sean,Detroit,I Love My 2010s Hip-Hop,Playlist track,USUM72108813
Revenge,XXXTENTACION,17,I Love My 2010s Hip-Hop,Playlist track,USUYG1156895
way back,Travis Scott,Birds In The Trap Sing McKnight,I Love My 2010s Hip-Hop,Playlist track,USSM11607549
What Would Meek Do?,Pusha T,DAYTONA,I Love My 2010s Hip-Hop,Playlist track,USUM71807355
BLEACH,BROCKHAMPTON,SATURATION III,I Love My 2010s Hip-Hop,Playlist track,USUYG1167871
untitled 02 | 06.23.2014.,Kendrick Lamar,untitled unmastered.,I Love My 2010s Hip-Hop,Playlist track,USUM71601674
Selfish,PnB Rock,GTTM: Goin Thru the Motions,I Love My 2010s Hip-Hop,Playlist track,USUYG1121848
Live From The Gutter,Drake,What A Time To Be Alive,I Love My 2010s Hip-Hop,Playlist track,USCM51500295
changes,XXXTENTACION,?,I Love My 2010s Hip-Hop,Playlist track,USUG11800211
Juicy,Doja Cat,Hot Pink,I Love My 2010s Hip-Hop,Playlist track,USRC11901510
ELEMENT.,Kendrick Lamar,DAMN.,I Love My 2010s Hip-Hop,Playlist track,USUM71703083
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city",I Love My 2010s Hip-Hop,Playlist track,USUM71210774
coordinate,Travis Scott,Birds In The Trap Sing McKnight,I Love My 2010s Hip-Hop,Playlist track,USSM11607370
Santorini Greece,Rick Ross,Rather You Than Me,I Love My 2010s Hip-Hop,Playlist track,USSM11701693
Legend,Drake,If You're Reading This It's Too Late,I Love My 2010s Hip-Hop,Playlist track,USCM51500010
Experimental (feat. Chip Tha Ripper & Juicy J),Big Sean,Detroit,I Love My 2010s Hip-Hop,Playlist track,USUM72108831
Fight Night,Migos,No Label II,I Love My 2010s Hip-Hop,Playlist track,QMCE31400019
B.I.D,Tory Lanez,MEMORIES DON'T DIE,I Love My 2010s Hip-Hop,Playlist track,USUM71800614
Dawsin's Breek (feat. Jeremih),Ty Dolla $ign,Beach House 3,I Love My 2010s Hip-Hop,Playlist track,USAT21703789
"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",A$AP Rocky,TESTING,I Love My 2010s Hip-Hop,Playlist track,USRC11802276
High Fashion (feat. Mustard),Roddy Ricch,Please Excuse Me for Being Antisocial,I Love My 2010s Hip-Hop,Playlist track,USAT21906985
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,Flockaveli,I Love My 2010s Hip-Hop,Playlist track,USWB11002103
Fuck That Check Up (feat. Lil Uzi Vert),Meek Mill,Wins & Losses,I Love My 2010s Hip-Hop,Playlist track,USAT21702435
Mula (feat. French Montana),Big Sean,Detroit,I Love My 2010s Hip-Hop,Playlist track,USUM72108833
Do Not Disturb,Drake,More Life,I Love My 2010s Hip-Hop,Playlist track,USCM51700049
Patek Water (feat. Offset),Future,SUPER SLIMEY,I Love My 2010s Hip-Hop,Playlist track,USSM11709201
No Role Modelz,J. Cole,2014 Forest Hills Drive,I Love My 2010s Hip-Hop,Playlist track,USQX91402598
Real Friends,Kanye West,The Life Of Pablo,I Love My 2010s Hip-Hop,Playlist track,USUM71603081
ICY GRL,Saweetie,High Maintenance,I Love My 2010s Hip-Hop,Playlist track,USWB11800159
Move to L.A. (feat. Ty Dolla $ign),Tyga,Bitch I'm the Shit 2,I Love My 2010s Hip-Hop,Playlist track,USUYG1148861
FDT,YG,Still Brazy (Deluxe),I Love My 2010s Hip-Hop,Playlist track,USUM71604426
Yamborghini High (feat. Juicy J),A$AP Mob,Cozy Tapes: Vol. 1 Friends -,I Love My 2010s Hip-Hop,Playlist track,USRC11602542
Hussle & Motivate,Nipsey Hussle,Victory Lap,I Love My 2010s Hip-Hop,Playlist track,USAT21705207
No Idea,Don Toliver,Heaven Or Hell,I Love My 2010s Hip-Hop,Playlist track,USAT21903300
"Splash Warning (feat. Future, Roddy Ricch and Young Thug)",Meek Mill,Championships,I Love My 2010s Hip-Hop,Playlist track,USAT21812560
Trap Niggas,Future,DS2 (Deluxe),I Love My 2010s Hip-Hop,Playlist track,USSM11505588
"Do Not Disturb (feat. Kamaiyah, G-Eazy)",YG,4REAL 4REAL,I Love My 2010s Hip-Hop,Playlist track,USUM71905787
EdEddnEddy,JID,The Never Story,I Love My 2010s Hip-Hop,Playlist track,USUM71701758
Bodak Yellow (feat. Kodak Black),Cardi B,Bodak Yellow (feat. Kodak Black),I Love My 2010s Hip-Hop,Playlist track,USAT21703997
Surf (feat. Gunna),Young Thug,So Much Fun,I Love My 2010s Hip-Hop,Playlist track,USAT21903328
