Track name, Artist name, Album, Playlist name, Type, ISRC
Skyfall,Adele,Skyfall,Hit Rewind,Playlist track,GBBKS1200164
Girl on Fire,Alicia Keys,Girl on Fire (Remixes) - EP,Hit Rewind,Playlist track,USRC11201015
Video Games,Lana Del Rey,Born To Die – Paradise Edition (Special Version),Hit Rewind,Playlist track,GBUM71111621
Mercy,Duffy,Rockferry,Hit Rewind,Playlist track,GBUM70711275
Mr Rock & Roll,Amy Macdonald,This Is The Life (eDeluxe),Hit Rewind,Playlist track,GBUM70607839
Chandelier,Sia,1000 Forms Of Fear (Deluxe Version),Hit Rewind,Playlist track,USRC11400498
Only Love Can Hurt Like This,Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition),Hit Rewind,Playlist track,GBARL1301427
When We Were Young,Adele,25,Hit Rewind,Playlist track,GBBKS1500217
Born To Die,Lana Del Rey,Born To Die – Paradise Edition (Special Version),Hit Rewind,Playlist track,GBUM71111120
Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love,Hit Rewind,Playlist track,USRC11200786
This Is The Life,Amy Macdonald,This Is The Life (eDeluxe),Hit Rewind,Playlist track,GBUM70607840
ocean eyes,Billie Eilish,dont smile at me,Hit Rewind,Playlist track,US23A1500056
Someone Like You,Adele,21,Hit Rewind,Playlist track,GBBKS1000351
Shake It Out,Florence + The Machine,Ceremonials (Original Deluxe Version),Hit Rewind,Playlist track,GBUM71107355
Sign of the Times,Harry Styles,Harry Styles,Hit Rewind,Playlist track,USSM11703595
Love On Top,Beyoncé,4,Hit Rewind,Playlist track,USSM11102908
Night Changes,One Direction,FOUR (Deluxe),Hit Rewind,Playlist track,GBHMU1400165
Roar,Katy Perry,PRISM (Deluxe),Hit Rewind,Playlist track,USUM71308669
"Happy - From ""Despicable Me 2""",Pharrell Williams,G I R L,Hit Rewind,Playlist track,USQ4E1300686
Need You Now,Lady A,Need You Now,Hit Rewind,Playlist track,USCN10900695
Rolling in the Deep,Adele,21,Hit Rewind,Playlist track,GBBKS1000335
Price Tag,Jessie J,Who You Are (Platinum Edition),Hit Rewind,Playlist track,USUM71029357
Perfect,Ed Sheeran,÷ (Deluxe),Hit Rewind,Playlist track,GBAHS1700024
All About That Bass,Meghan Trainor,Title (Deluxe),Hit Rewind,Playlist track,USSM11401317
Million Reasons,Lady Gaga,Joanne (Deluxe),Hit Rewind,Playlist track,USUM71609736
Blank Space,Taylor Swift,1989 (Deluxe),Hit Rewind,Playlist track,USCJY1431309
Next To Me,Emeli Sandé,Our Version Of Events (Special Edition),Hit Rewind,Playlist track,GBAAA1200003
Set Fire to the Rain,Adele,21,Hit Rewind,Playlist track,GBBKS1000348
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Delirium (Deluxe),Hit Rewind,Playlist track,GBUM71406823
Dear Future Husband,Meghan Trainor,Title (Deluxe),Hit Rewind,Playlist track,USSM11406291
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),Hit Rewind,Playlist track,GBAHS1400099
Secret Love Song (feat. Jason Derulo),Little Mix,Get Weird (Expanded Edition),Hit Rewind,Playlist track,GBHMU1500073
Shake It Off,Taylor Swift,1989 (Deluxe),Hit Rewind,Playlist track,USCJY1431349
Budapest,George Ezra,Wanted on Voyage (Expanded Edition),Hit Rewind,Playlist track,GBARL1400477
Hold Up,Beyoncé,Lemonade,Hit Rewind,Playlist track,USSM11603176
All of Me,John Legend,Love In The Future (Expanded Edition),Hit Rewind,Playlist track,USSM11303954
Photograph,Ed Sheeran,x (Deluxe Edition),Hit Rewind,Playlist track,GBAHS1400094
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Title (Deluxe),Hit Rewind,Playlist track,USSM11408374
"Read All About It, Pt. III",Emeli Sandé,Our Version Of Events (Special Edition),Hit Rewind,Playlist track,GBAAA1200018
All I Want,Kodaline,In A Perfect World (Expanded Edition),Hit Rewind,Playlist track,GBDVX1200008
Wrecking Ball,Miley Cyrus,Bangerz (Deluxe Version),Hit Rewind,Playlist track,USRC11301214
