Track name, Artist name, Album, Playlist name, Type, ISRC
Under The Influence,Chris Brown,Indigo (Extended),I Love My '10s R&B,Playlist track,USRC11902743
Dark Red,Steve Lacy,Dark Red,I Love My '10s R&B,Playlist track,GBKPL1778015
Die For You,The Weeknd,Starboy,I Love My '10s R&B,Playlist track,USUG11601011
Pink + White,Frank Ocean,Blonde,I Love My '10s R&B,Playlist track,QZ5C81600003
One Dance,Drake,Views,I Love My '10s R&B,Playlist track,USCM51600028
Don't,Bryson Tiller,T R A P S O U L,I Love My '10s R&B,Playlist track,USRC11501051
That's What I Like,Bruno Mars,24K Magic,I Love My '10s R&B,Playlist track,USAT21602948
Sure Thing,Miguel,All I Want Is You,I Love My '10s R&B,Playlist track,USJI10800160
Break from Toronto,PARTYNEXTDOOR,PARTYNEXTDOOR,I Love My '10s R&B,Playlist track,USWB11302160
Streets,Doja Cat,Hot Pink,I Love My '10s R&B,Playlist track,USRC11903460
Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,I Love My '10s R&B,Playlist track,GBARL1401524
Redbone,Childish Gambino,"""Awaken, My Love!""",I Love My '10s R&B,Playlist track,USYAH1600107
Lost,Frank Ocean,channel ORANGE,I Love My '10s R&B,Playlist track,USUM71207186
Needed Me,Rihanna,ANTI (Deluxe),I Love My '10s R&B,Playlist track,QM5FT1600118
Get You (feat. Kali Uchis),Daniel Caesar,Freudian,I Love My '10s R&B,Playlist track,TCACR1690004
Broken Clocks,SZA,Ctrl,I Love My '10s R&B,Playlist track,USRC11701122
No Guidance (feat. Drake),Chris Brown,Indigo,I Love My '10s R&B,Playlist track,USRC11901583
Girl With The Tattoo Enter.lewd,Miguel,All I Want Is You,I Love My '10s R&B,Playlist track,USJI11000245
Novacane,Frank Ocean,Novacane,I Love My '10s R&B,Playlist track,USUM71107257
Girls Need Love (with Drake) - Remix,Summer Walker,Last Day Of Summer,I Love My '10s R&B,Playlist track,USUM71903117
C U Girl,Steve Lacy,C U Girl,I Love My '10s R&B,Playlist track,TCACH1579144
24K Magic,Bruno Mars,24K Magic,I Love My '10s R&B,Playlist track,USAT21602944
Them Changes,Thundercat,Drunk,I Love My '10s R&B,Playlist track,US25X1090547
Exchange,Bryson Tiller,T R A P S O U L,I Love My '10s R&B,Playlist track,USRC11502185
Best Part (feat. H.E.R.),Daniel Caesar,Freudian,I Love My '10s R&B,Playlist track,CADDS1700022
Trust,Brent Faiyaz,Lost,I Love My '10s R&B,Playlist track,QM24S1837815
Thinkin Bout You,Frank Ocean,channel ORANGE,I Love My '10s R&B,Playlist track,USUM71202995
Hotline Bling,Drake,Views,I Love My '10s R&B,Playlist track,USCM51500238
